player_name,event_name,year,score_to_par,position,
Aaron Baddeley,AT&T Byron Nelson,2016,4,CUT,
Abraham Ancer,AT&T Byron Nelson,2016,-5,F,
Adam Hadwin,AT&T Byron Nelson,2016,-4,F,
Alex Cejka,AT&T Byron Nelson,2016,0,CUT,
Alex Moon,AT&T Byron Nelson,2016,6,CUT,
Alex Prugh,AT&T Byron Nelson,2016,0,CUT,
Andres Gonzales,AT&T Byron Nelson,2016,-8,F,
Andres Romero,AT&T Byron Nelson,2016,0,CUT,
Andrew Landry,AT&T Byron Nelson,2016,-1,MDF,
Andrew Loupe,AT&T Byron Nelson,2016,3,MDF,
Anirban Lahiri,AT&T Byron Nelson,2016,-6,F,
Ben Crane,AT&T Byron Nelson,2016,-9,F,
Billy Hurley III,AT&T Byron Nelson,2016,-7,F,
Billy Mayfair,AT&T Byron Nelson,2016,-1,CUT,
Blayne Barber,AT&T Byron Nelson,2016,6,CUT,
Bobby Wyatt,AT&T Byron Nelson,2016,0,CUT,
Boo Weekley,AT&T Byron Nelson,2016,-7,F,
Brandt Snedeker,AT&T Byron Nelson,2016,-1,CUT,
Brendon Todd,AT&T Byron Nelson,2016,5,CUT,
Brett Stegmaier,AT&T Byron Nelson,2016,-2,F,
Brian Gay,AT&T Byron Nelson,2016,-1,CUT,
Brian Harman,AT&T Byron Nelson,2016,-1,CUT,
Brian Norman,AT&T Byron Nelson,2016,3,CUT,
Brice Garnett,AT&T Byron Nelson,2016,0,CUT,
Bronson Burgoon,AT&T Byron Nelson,2016,-9,F,
Brooks Koepka,AT&T Byron Nelson,2016,-15,F,
Bryce Molder,AT&T Byron Nelson,2016,-9,F,
Bryson DeChambeau,AT&T Byron Nelson,2016,-1,CUT,
Bud Cauley,AT&T Byron Nelson,2016,-13,F,
Cameron Beckman,AT&T Byron Nelson,2016,9,CUT,
Cameron Percy,AT&T Byron Nelson,2016,0,MDF,
Cameron Smith,AT&T Byron Nelson,2016,1,CUT,
Carl Pettersson,AT&T Byron Nelson,2016,7,CUT,
Carlos Ortiz,AT&T Byron Nelson,2016,0,CUT,
Chad Campbell,AT&T Byron Nelson,2016,-11,F,
Chad Collins,AT&T Byron Nelson,2016,2,CUT,
Charl Schwartzel,AT&T Byron Nelson,2016,-4,F,
Charles Howell III,AT&T Byron Nelson,2016,-13,F,
Charley Hoffman,AT&T Byron Nelson,2016,-11,F,
Chesson Hadley,AT&T Byron Nelson,2016,4,CUT,
Chez Reavie,AT&T Byron Nelson,2016,-10,F,
Chris Stroud,AT&T Byron Nelson,2016,3,DQ,
Colt Knost,AT&T Byron Nelson,2016,-13,F,
Conrad Shindler,AT&T Byron Nelson,2016,-1,MDF,
Curtis Reed,AT&T Byron Nelson,2016,14,CUT,
D.A. Points,AT&T Byron Nelson,2016,-2,F,
D.H. Lee,AT&T Byron Nelson,2016,2,CUT,
D.J. Trahan,AT&T Byron Nelson,2016,2,CUT,
Danny Lee,AT&T Byron Nelson,2016,-10,F,
Darron Stiles,AT&T Byron Nelson,2016,-1,CUT,
David Toms,AT&T Byron Nelson,2016,-1,CUT,
Dawie van der Walt,AT&T Byron Nelson,2016,-1,CUT,
Derek Ernst,AT&T Byron Nelson,2016,0,CUT,
Derek Fathauer,AT&T Byron Nelson,2016,0,MDF,
Dicky Pride,AT&T Byron Nelson,2016,1,CUT,
Dustin Johnson,AT&T Byron Nelson,2016,-11,F,
Erik Compton,AT&T Byron Nelson,2016,0,CUT,
Ernie Els,AT&T Byron Nelson,2016,1,CUT,
Frank Lickliter II,AT&T Byron Nelson,2016,5,CUT,
Freddie Jacobson,AT&T Byron Nelson,2016,-8,F,
Gary Woodland,AT&T Byron Nelson,2016,-11,F,
Graham DeLaet,AT&T Byron Nelson,2016,-1,CUT,
Greg Chalmers,AT&T Byron Nelson,2016,5,CUT,
Greg Owen,AT&T Byron Nelson,2016,1,MDF,
Harris English,AT&T Byron Nelson,2016,-5,F,
Henrik Norlander,AT&T Byron Nelson,2016,-5,F,
Hiroshi Iwata,AT&T Byron Nelson,2016,-9,F,
Hudson Swafford,AT&T Byron Nelson,2016,-8,F,
Ian Poulter,AT&T Byron Nelson,2016,0,CUT,
J.J. Henry,AT&T Byron Nelson,2016,-2,F,
Jack Newman,AT&T Byron Nelson,2016,2,CUT,
James Hahn,AT&T Byron Nelson,2016,-6,F,
Jason Dufner,AT&T Byron Nelson,2016,-9,F,
Jason Gore,AT&T Byron Nelson,2016,0,CUT,
Jeff Overton,AT&T Byron Nelson,2016,-4,F,
Jerry Kelly,AT&T Byron Nelson,2016,-1,CUT,
Jhonattan Vegas,AT&T Byron Nelson,2016,-5,F,
Jimmy Walker,AT&T Byron Nelson,2016,-9,F,
Joe Affrunti,AT&T Byron Nelson,2016,4,CUT,
John Huh,AT&T Byron Nelson,2016,3,CUT,
John Merrick,AT&T Byron Nelson,2016,-3,F,
John Senden,AT&T Byron Nelson,2016,-7,F,
Johnson Wagner,AT&T Byron Nelson,2016,-4,F,
Jon Curran,AT&T Byron Nelson,2016,-8,F,
Jonas Blixt,AT&T Byron Nelson,2016,-5,F,
Jordan Spieth,AT&T Byron Nelson,2016,-10,F,
Justin Hicks,AT&T Byron Nelson,2016,-12,F,
Keegan Bradley,AT&T Byron Nelson,2016,0,CUT,
Kelly Kraft,AT&T Byron Nelson,2016,-5,F,
Ken Duke,AT&T Byron Nelson,2016,7,CUT,
Kiradech Aphibarnrat,AT&T Byron Nelson,2016,1,CUT,
Kyle Reifers,AT&T Byron Nelson,2016,-12,F,
Kyle Robbins,AT&T Byron Nelson,2016,3,CUT,
Kyle Stanley,AT&T Byron Nelson,2016,-7,F,
Lance Lopez,AT&T Byron Nelson,2016,1,MDF,
Louis Oosthuizen,AT&T Byron Nelson,2016,0,CUT,
Lucas Glover,AT&T Byron Nelson,2016,-1,CUT,
Lucas Lee,AT&T Byron Nelson,2016,2,CUT,
Luke Guthrie,AT&T Byron Nelson,2016,-1,F,
Luke List,AT&T Byron Nelson,2016,-1,CUT,
Marc Leishman,AT&T Byron Nelson,2016,0,CUT,
Marc Turnesa,AT&T Byron Nelson,2016,2,MDF,
Mark Hubbard,AT&T Byron Nelson,2016,2,CUT,
Mark Wilson,AT&T Byron Nelson,2016,-9,F,
Martin Flores,AT&T Byron Nelson,2016,-3,F,
Martin Piller,AT&T Byron Nelson,2016,1,CUT,
Matt Jones,AT&T Byron Nelson,2016,2,CUT,
Matt Kuchar,AT&T Byron Nelson,2016,-14,F,
Michael Bradley,AT&T Byron Nelson,2016,2,CUT,
Michael Kim,AT&T Byron Nelson,2016,-8,F,
Michael Thompson,AT&T Byron Nelson,2016,-10,F,
Mike Weir,AT&T Byron Nelson,2016,9,CUT,
Patrick Rodgers,AT&T Byron Nelson,2016,-6,F,
Peter Malnati,AT&T Byron Nelson,2016,6,CUT,
Rhein Gibson,AT&T Byron Nelson,2016,-2,F,
Richard H. Lee,AT&T Byron Nelson,2016,0,CUT,
Ricky Barnes,AT&T Byron Nelson,2016,-9,F,
Rob Oppenheim,AT&T Byron Nelson,2016,1,CUT,
Robert Allenby,AT&T Byron Nelson,2016,3,CUT,
Robert Garrigus,AT&T Byron Nelson,2016,-13,F,
Rod Pampling,AT&T Byron Nelson,2016,-2,F,
Russell Henley,AT&T Byron Nelson,2016,0,CUT,
Ryan Palmer,AT&T Byron Nelson,2016,-1,CUT,
S.Y. Noh,AT&T Byron Nelson,2016,2,CUT,
Sam Saunders,AT&T Byron Nelson,2016,-1,CUT,
Scott Langley,AT&T Byron Nelson,2016,0,CUT,
Scott Piercy,AT&T Byron Nelson,2016,0,CUT,
Scott Pinckney,AT&T Byron Nelson,2016,-9,F,
Scott Stallings,AT&T Byron Nelson,2016,-8,F,
Sean O'Hair,AT&T Byron Nelson,2016,-10,F,
Sergio Garcia,AT&T Byron Nelson,2016,-15,F,
Shawn Stefani,AT&T Byron Nelson,2016,0,CUT,
Spencer Levin,AT&T Byron Nelson,2016,-13,F,
Steve Marino,AT&T Byron Nelson,2016,-11,F,
Steve Wheatcroft,AT&T Byron Nelson,2016,6,CUT,
Steven Bowditch,AT&T Byron Nelson,2016,3,MDF,
Stuart Appleby,AT&T Byron Nelson,2016,-4,F,
Sung Kang,AT&T Byron Nelson,2016,-8,F,
Ted Purdy,AT&T Byron Nelson,2016,-7,F,
Thomas Aiken,AT&T Byron Nelson,2016,2,CUT,
Tim Herron,AT&T Byron Nelson,2016,0,F,
Tim Wilkinson,AT&T Byron Nelson,2016,-13,F,
Tom Gillis,AT&T Byron Nelson,2016,-2,F,
Tom Hoge,AT&T Byron Nelson,2016,-5,F,
Tony Finau,AT&T Byron Nelson,2016,-11,F,
Trevor Immelman,AT&T Byron Nelson,2016,4,CUT,
Tyler Aldridge,AT&T Byron Nelson,2016,2,CUT,
Tyrone Van Aswegen,AT&T Byron Nelson,2016,-3,F,
Wes Roach,AT&T Byron Nelson,2016,-10,F,
Whee Kim,AT&T Byron Nelson,2016,-5,F,
Will MacKenzie,AT&T Byron Nelson,2016,-9,F,
Will Wilcox,AT&T Byron Nelson,2016,-5,F,
Will Zalatoris,AT&T Byron Nelson,2016,5,CUT,
Zac Blair,AT&T Byron Nelson,2016,-1,CUT,
Zach Johnson,AT&T Byron Nelson,2016,-2,F,
Ángel Cabrera,AT&T Byron Nelson,2016,4,CUT,
Aaron Baddeley,AT&T Pebble Beach Pro-Am,2016,-1,F,
Abraham Ancer,AT&T Pebble Beach Pro-Am,2016,12,CUT,
Alex Cejka,AT&T Pebble Beach Pro-Am,2016,-2,F,
Alex Prugh,AT&T Pebble Beach Pro-Am,2016,2,CUT,
Andres Gonzales,AT&T Pebble Beach Pro-Am,2016,4,CUT,
Andres Romero,AT&T Pebble Beach Pro-Am,2016,2,CUT,
Andrew Landry,AT&T Pebble Beach Pro-Am,2016,0,CUT,
Andrew Loupe,AT&T Pebble Beach Pro-Am,2016,-2,F,
Austin Connelly,AT&T Pebble Beach Pro-Am,2016,1,F,
Ben Martin,AT&T Pebble Beach Pro-Am,2016,10,CUT,
Bill Haas,AT&T Pebble Beach Pro-Am,2016,-10,F,
Billy Hurley III,AT&T Pebble Beach Pro-Am,2016,-1,F,
Blake Adams,AT&T Pebble Beach Pro-Am,2016,5,CUT,
Bo Van Pelt,AT&T Pebble Beach Pro-Am,2016,6,CUT,
Brandt Snedeker,AT&T Pebble Beach Pro-Am,2016,-3,F,
Brendon Todd,AT&T Pebble Beach Pro-Am,2016,3,CUT,
Brett Stegmaier,AT&T Pebble Beach Pro-Am,2016,3,CUT,
Brian Davis,AT&T Pebble Beach Pro-Am,2016,4,CUT,
Brian Gay,AT&T Pebble Beach Pro-Am,2016,0,F,
Brian Stuard,AT&T Pebble Beach Pro-Am,2016,1,CUT,
Brice Garnett,AT&T Pebble Beach Pro-Am,2016,8,CUT,
Bronson Burgoon,AT&T Pebble Beach Pro-Am,2016,-7,F,
Brooks Koepka,AT&T Pebble Beach Pro-Am,2016,-10,F,
Bryce Molder,AT&T Pebble Beach Pro-Am,2016,7,CUT,
Bubba Watson,AT&T Pebble Beach Pro-Am,2016,0,CUT,
Bud Cauley,AT&T Pebble Beach Pro-Am,2016,1,CUT,
Cameron Beckman,AT&T Pebble Beach Pro-Am,2016,17,CUT,
Cameron Percy,AT&T Pebble Beach Pro-Am,2016,11,CUT,
Cameron Smith,AT&T Pebble Beach Pro-Am,2016,-9,F,
Chad Collins,AT&T Pebble Beach Pro-Am,2016,3,CUT,
Charlie Beljan,AT&T Pebble Beach Pro-Am,2016,9,CUT,
Chesson Hadley,AT&T Pebble Beach Pro-Am,2016,3,CUT,
Chez Reavie,AT&T Pebble Beach Pro-Am,2016,-6,F,
Chris Stroud,AT&T Pebble Beach Pro-Am,2016,1,CUT,
Colt Knost,AT&T Pebble Beach Pro-Am,2016,-1,F,
D.A. Points,AT&T Pebble Beach Pro-Am,2016,0,CUT,
D.H. Lee,AT&T Pebble Beach Pro-Am,2016,20,CUT,
D.J. Trahan,AT&T Pebble Beach Pro-Am,2016,13,CUT,
Daniel Summerhays,AT&T Pebble Beach Pro-Am,2016,6,CUT,
